"Country","Region","Type","Country1","lat1","lon1","top1","right1","bottom1","left1"
"Eritrea","","Country","Eritrea","15.19","39.78","36.44","12.36","43.12","18.01"
"Estonia","","Country","Estonia","58.6","25.01","21.83","57.52","28.2","59.67"
"Ethiopia","Sub Saharan Africa","Country","Ethiopia","9.14","40.49","32.99","3.41","47.99","14.87"
"Falkland Islands","","Country","Falkland Islands","-51.8","-59.38","-61.03","-52.34","-57.73","-51.26"
"Faroe Islands","","Country","Faroe Islands","62.13","-6.9","-7.23","61.93","-6.57","62.33"
"Fiji","","Country","Fiji","-17.66","178.62","177.26","-19.16","179.99","-16.15"
"Finland","","Country","Finland","64.94","25.62","19.65","59.8","31.59","70.08"
"France","","Country","France","46.23","2.38","-4.79","41.37","9.54","51.09"
"French Guiana","","Country","French Guiana","3.93","-53.13","-54.62","2.11","-51.65","5.75"
"French Polynesia","","Country","French Polynesia","-17.69","-149.4","-149.64","-17.87","-149.15","-17.5"
"French Southern and Antarctic Lands","","Country","French Southern and Antarctic Lands","-49.19","69.66","68.75","-49.72","70.57","-48.65"
"Gabon","","Country","Gabon","-0.8","11.61","8.71","-3.92","14.52","2.32"
"Gambela","Sub Saharan Africa","City","Ethiopia","","","","","",""
"Gambia","","Country","Gambia","13.43","-15.31","-16.83","13.04","-13.8","13.83"
"Gaza Strip","","Country","Gaza Strip","31.41","34.39","34.22","31.22","34.56","31.6"
"Georgia","","Country","Georgia","42.32","43.36","40.01","41.05","46.71","43.58"
"Germany","","Country","Germany","51.1","10.45","5.87","47.28","15.04","54.92"
"Ghana","","Country","Ghana","7.95","-1.02","-3.25","4.73","1.2","11.17"
"Giwa","Sub Saharan Africa","City","Nigeria","","","","","",""
"Granada","Latin America & Caribbean","City","Nicaragua","","","","","",""
"Greece","","Country","Greece","38.34","23.93","19.63","34.93","28.24","41.74"
"Greenland","","Country","Greenland","71.71","-42.6","-73.04","59.79","-12.16","83.62"
"Grenada","","Country","Grenada","12.12","-61.69","-61.79","12","-61.6","12.24"
"Guadeloupe","","Country","Guadeloupe","16.23","-61.45","-61.78","15.95","-61.11","16.51"
"Guatemala","","Country","Guatemala","15.78","-90.23","-92.25","13.75","-88.21","17.82"
"Guinea","","Country","Guinea","7.94","-3.06","-15.08","3.21","8.96","12.67"
"Guinea-Bissau","","Country","Guinea-Bissau","11.8","-15.16","-16.68","10.92","-13.64","12.68"
"Guyana","","Country","Guyana","4.86","-58.93","-61.39","1.19","-56.47","8.53"
"Haiti","Latin America & Caribbean","Country","Haiti","18.98","-73.05","-74.48","18.02","-71.63","19.93"
"Hanoi","Asia","City","Vietnam","","","","","",""
